bathrooms,furnished,price,bedrooms,utilities,longitude,date,roommate,pets,address,latitude,neighbourhood
0,0,1150,1,0,-123.29596,2018-01-25 16:51,1,0,3849-3855 Cadboro Bay Rd Victoria BC CA,48.461579,
1,0,2000,3,0,-123.368971,2018-01-25 17:37,1,0,3716-3710 Saanich Rd Victoria BC CA,48.458083,
1,0,3000,2,0,-123.523398,2017-12-28 22:14,1,1,Leigh Place Langford BC CA,48.444654,
1,0,1250,0,0,-123.365807,2018-01-25 21:28,0,0,michigan at douglas victoria BC CA,48.417415,James Bay
1.5,0,1875,2,0,-123.375414,2017-12-29 19:10,0,0,425 Simcoe Victoria BC CA,48.415597,James Bay
1,0,1000,1,0,-123.348725,2018-01-25 22:16,0,0,"1229 Pandora Ave Victoria, BC CA",48.426805,Fernwood
2,0,2200,4,0,-123.396252,2018-01-26 3:56,0,1,Agnes at Broadway Victoria BC CA,48.471528,
1,0,1900,3,0,-123.383053,2018-01-26 5:51,0,0,3842 Carey Road Victoria BC CA,48.460913,
1,0,1400,2,1,-123.336168,2018-01-26 7:01,0,0,"3662 Ophir Street, Victoria, BC, Canada",48.459554,
,0,,,0,,2017-12-30 15:21,,,,,
1,0,2095,3,0,,2018-01-20 15:43,0,0,,,
0,0,1600,0,0,-123.505256,2018-01-25 3:40,0,0,Haida Dr. at Cairndale Victoria BC CA,48.422469,
2,0,4800,4,0,-123.378671,2018-01-27 2:23,0,0,419-431 Luxton Ave Victoria BC CA,48.413916,James Bay
1.5,0,2300,3,0,-123.322273,2018-01-27 11:33,0,1,4319 Tyndall Ave Victoria BC CA,48.481583,
1,0,2500,1,0,-123.369419,2018-01-14 18:21,0,0,Waddington Alley at Johnson St Victoria BC CA,48.427764,Downtown
6,0,3250,5,0,-123.742876,2018-01-27 19:19,0,0,Gabriola Island Gabriola BC CA,49.160772,
1,0,1790,1,1,-123.369309,2018-01-12 0:29,0,0,499-521 Fort St Victoria BC CA,48.425062,Downtown
3.5,0,2800,4,0,-123.376251,2018-01-27 21:59,0,1,culduthel road at douglas victoria BC CA,48.453998,
1,0,1300,1,0,,2017-12-29 7:12,0,0,,,
2,0,2850,2,0,-123.538597,2018-01-28 2:38,0,0,summerbreeze lane Langford BC CA,48.413711,
2,0,2000,2,0,-123.368964,2018-01-17 1:24,1,0,3790 Saanich Rd Victoria BC CA,48.460471,
3,0,2795,3,0,-123.463221,2018-01-28 6:22,1,1,6747-6815 Jedora Dr Brentwood Bay BC CA,48.565498,
1,0,1587,2,0,-123.32984,2018-01-02 4:32,1,0,1714 Newton Street Victoria BC CA,48.439633,
1.5,0,1450,2,0,,2018-01-14 5:34,0,0,,,
1,0,1700,2,0,-123.524371,2018-01-28 21:58,0,0,957 Colbourne Gdns Victoria BC CA,48.43627,
1,0,1750,3,1,,2018-01-29 0:36,0,0,,,
0,0,777,0,0,,2018-01-29 3:02,0,0,,,
0,1,600,1,0,-123.310791,2018-01-29 4:41,0,0,Sandell Place at Edgelow Victoria BC CA,48.472359,
2,0,2500,3,0,-123.323483,2018-01-24 2:20,0,1,4450 Torquay Victoria BC CA,48.4891,
1,0,1875,2,1,-123.328566,2018-01-12 19:05,1,0,"1701 Cedar Hill Cross Road Victoria Saanich, Victoria BC CA",48.459698,
1,0,1650,1,0,-123.328566,2018-01-26 20:12,1,0,"1701 Cedar Hill Cross Road Victoria Saanich, Victoria BC CA",48.459698,
1,0,1300,1,0,-123.385254,2018-01-02 23:58,1,0,133 gorge rd east victoria BC CA,48.442874,Burnside
1,0,1900,3,0,-123.361487,2018-01-13 22:32,0,1,3828-3804 Saul St Victoria BC CA,48.461454,
1,0,1550,1,0,-123.328872,2018-01-14 0:57,0,0,Palo Alto St Victoria BC CA,48.462308,
1,0,1700,1,0,-123.328566,2018-01-24 17:51,0,0,"1701 Cedar Hill Cross Road Victoria Saanich, Victoria BC CA",48.459698,
