price,bedrooms,bathrooms,pets,furnished,address,latitude,longitude,date,roommate,utilities
1000,1,1,0,0,804 Esquimalt Road Victoria BC CA,48.432374,-123.395092,2018-01-16 23:15,0,1
1800,2,1,0,0,1115 Goldstream Ave Victoria BC CA,48.449166,-123.519579,2018-01-17 3:31,0,1
1700,2,1,0,0,325 Victoria BC CA,,,2018-01-17 5:43,0,1
2500,3,2,0,0,1608 Ash Rd Victoria BC CA,48.49246,-123.327899,2018-01-17 8:18,0,1
1800,2,1,1,0,3422 Harriet Victoria BC CA,48.453843,-123.381868,2018-01-17 9:13,0,1
1450,3,2.5,0,0,,,,2018-01-11 17:35,0,1
800,0,0,0,0,2687 James St Duncan BC CA,48.7829,-123.7027,2018-01-17 17:05,0,1
1495,2,1,0,1,1350 Stanley Ave Victoria BC CA,48.425476,-123.342761,2018-01-17 17:37,0,1
1495,2,1,0,1,1311-1373 Stanley Ave Victoria BC CA,48.425412,-123.342536,2018-01-17 18:27,0,1
4700,5,2,1,0,Nottingham Rd. Victoria BC CA,48.442975,-123.308515,2018-01-18 5:02,0,1
1600,0,0,0,0,898 Tattersall Dr Victoria BC CA,48.456476,-123.368571,2018-01-18 7:49,0,1
850,0,1,0,0,2499 Beacon Ave Sidney BC CA,48.648794,-123.396618,2018-01-18 9:10,0,0
2000,2,1,1,0,Springridge Crescent Victoria BC CA,48.482266,-123.399451,2018-01-12 5:41,0,1
1580,1,1,0,0,425 Simcoe Street Victoria BC CA,48.4156,-123.375416,2018-01-18 18:36,0,1
1935,1,1.5,1,1,426 Simcoe Street Victoria BC CA,48.4156,-123.375416,2018-01-18 19:04,0,0
1100,1,1,0,0,2185-2207 James White Blvd Sidney BC CA,48.651501,-123.407343,2018-01-18 22:36,0,1
1995,3,2,0,1,washington at burnside victoria BC CA,48.446939,-123.379666,2018-01-18 23:00,0,1
2350,1,1,1,0,379 Tyee Rd Victoria BC CA,48.431188,-123.37828,2018-01-19 2:24,0,1
2150,0,0,1,0,1315 Waddington Alley #102 Victoria BC CA,48.427202,-123.369211,2018-01-08 3:30,0,1
790,1,1,0,1,1980 Argyle Ave Victoria BC CA,48.448492,-123.321921,2018-01-19 3:54,0,1
950,1,1,0,1,2770-2700 Scott St Victoria BC CA,48.438139,-123.334914,2018-01-19 5:47,0,1
2300,3,0,1,0,1331 Finlayson St Victoria BC CA,48.447394,-123.351445,2018-01-19 5:50,0,0
2800,2,1,0,0,877-977 Byng St Victoria BC CA,48.419996,-123.30611,2018-01-19 17:01,0,1
1600,2,1,0,0,,,,2018-01-19 17:33,0,1
1965,2,1,0,0,2174 Amelia Ave Sidney BC CA,48.658991,-123.409242,2018-01-19 17:57,0,1
850,0,0,0,1,1349 Grant Street Victoria BC CA,48.428529,-123.343283,2018-01-05 2:57,0,0
2300,3,2,0,0,Cedar Hill Rd Victoria BC CA,48.463332,-123.33678,2018-01-20 6:40,0,1
1000,1,1,0,0,,,,2018-01-20 16:04,0,1
1500,2,1,1,0,2134 Bradford ave Sidney BC CA,48.656378,-123.411268,2018-01-20 17:53,0,1
1500,2,1,0,0,Goldstone Heights Victoria BC CA,48.452196,-123.475036,2018-01-20 20:05,0,1
1200,0,0,0,0,425-475 Simcoe St Victoria BC CA,48.415953,-123.375163,2018-01-20 21:25,0,1
2350,2,1.5,1,0,1301-1311 Rockland Ave Victoria BC CA,48.420805,-123.34729,2018-01-20 22:06,0,1
1600,2,2,0,0,3547 Richmond Road Victoria BC CA,48.455625,-123.327615,2018-01-21 2:55,0,1
1450,1,1,0,0,623 Treanor Ave Langford BC BC CA,48.464575,-123.497395,2017-12-23 16:43,0,1
1500,2,1,0,0,3920-3910 Cherrilee Crescent Victoria BC CA,48.461682,-123.29248,2018-01-21 14:08,0,1
1650,0,0,0,0,Sanich British Columbia CA,48.4777,-123.3658,2018-01-21 20:18,0,1
1800,2,1,1,0,333-305 Sabina Pl Victoria BC CA,48.46663,-123.490256,2018-01-16 4:38,0,1
1100,1,1,0,0,2081 Solent Rd N Sooke BC CA,48.481422,-123.715858,2018-01-21 23:58,0,1
1600,2,1,0,0,3631-3651 Bridgeport Dr Victoria BC CA,48.459375,-123.352898,2018-01-22 0:10,0,0
2350,2,2,1,0,Suffolk Street Victoria BC CA,48.431834,-123.391801,2018-01-22 2:40,0,1
790,0,1,0,1,Sutlej st at Cook st Victoria BC CA,48.414612,-123.356521,2018-01-22 4:37,0,1
